instrument_id,asset_class,base_ccy,quote_ccy,multiplier,is_ndf,bbg_ticker,expiry_date
AUDUSD,FX,AUD,USD,1.0,0,AUDUSD Curncy,9999-12-31
ESU6 Index,FUTURE,ES,USD,50.0,0,ESU6 Index,2026-09-18
ESZ6 Index,FUTURE,ES,USD,50.0,0,ESZ6 Index,2026-12-18
EURSEK,FX,EUR,SEK,1.0,0,EURSEK Curncy,9999-12-31
EURSEK092326C-197727826,FX_OPTION,EUR,SEK,1.0,0,EURSEK092326C-197727826,2026-09-23
EURSEK092326P-197728105,FX_OPTION,EUR,SEK,1.0,0,EURSEK092326P-197728105,2026-09-23
EURSEK092326P-197838147,FX_OPTION,EUR,SEK,1.0,0,EURSEK092326P-197838147,2026-09-23
EURSEK092526C-198565102,FX_OPTION,EUR,SEK,1.0,0,EURSEK092526C-198565102,2026-09-23
EURSEK112526C-197906813,FX_OPTION,EUR,SEK,1.0,0,EURSEK112526C-197906813,2026-11-25
EURUSD,FX,EUR,USD,1.0,0,EURUSD Curncy,9999-12-31
EURUSD092226C-197728066,FX_OPTION,EUR,USD,1.0,0,EURUSD092226C-197728066,2026-09-22
EURUSD092226C-198418644,FX_OPTION,EUR,USD,1.0,0,EURUSD092226C-198418644,2026-09-22
EURUSD092226P-197728065,FX_OPTION,EUR,USD,1.0,0,EURUSD092226P-197728065,2026-09-22
EURUSD092226P-198418474,FX_OPTION,EUR,USD,1.0,0,EURUSD092226P-198418474,2026-09-22
GBPUSD,FX,GBP,USD,1.0,0,GBPUSD Curncy,9999-12-31
IRSOIS-USD-22860996,IRS,USD,USD,1.0,0,IRSOIS-USD-22860996,2027-02-11
IRSOIS-USD-22870318,IRS,USD,USD,1.0,0,IRSOIS-USD-22870318,2027-02-11
IRSOIS-USD-22907452,IRS,USD,USD,1.0,0,IRSOIS-USD-22907452,2027-02-11
IRSOIS-USD-22919058,IRS,USD,USD,1.0,0,IRSOIS-USD-22919058,2028-11-11
IRSOIS-USD-22919059,IRS,USD,USD,1.0,0,IRSOIS-USD-22919059,2027-02-11
IRSOIS-USD-22927109,IRS,USD,USD,1.0,0,IRSOIS-USD-22927109,2028-11-11
IRSOIS-USD-22927110,IRS,USD,USD,1.0,0,IRSOIS-USD-22927110,2028-11-11
IRSOIS-USD-22931939,IRS,USD,USD,1.0,0,IRSOIS-USD-22931939,2027-11-24
IRSOIS-USD-22931948,IRS,USD,USD,1.0,0,IRSOIS-USD-22931948,2027-11-24
IRSOIS-USD-22950573,IRS,USD,USD,1.0,0,IRSOIS-USD-22950573,2027-11-26
IRSOIS-USD-23001697,IRS,USD,USD,1.0,0,IRSOIS-USD-23001697,2027-11-24
IRSOIS-USD-23001698,IRS,USD,USD,1.0,0,IRSOIS-USD-23001698,2036-11-24
IRSOIS-USD-23025998,IRS,USD,USD,1.0,0,IRSOIS-USD-23025998,2036-12-10
IRSOIS-USD-23049992,IRS,USD,USD,1.0,0,IRSOIS-USD-23049992,2027-11-24
IRSOIS-USD-23049993,IRS,USD,USD,1.0,0,IRSOIS-USD-23049993,2036-12-10
IRSOIS-USD-23070541,IRS,USD,USD,1.0,0,IRSOIS-USD-23070541,2036-12-17
IRSOIS-USD-23076944,IRS,USD,USD,1.0,0,IRSOIS-USD-23076944,2036-12-21
IRSOIS-USD-23083373,IRS,USD,USD,1.0,0,IRSOIS-USD-23083373,2036-12-22
IRSOIS-USD-23095299,IRS,USD,USD,1.0,0,IRSOIS-USD-23095299,2036-12-23
NQU6 Index,FUTURE,NQ,USD,20.0,0,NQU6 Index,2026-09-18
NZDUSD,FX,NZD,USD,1.0,0,NZDUSD Curncy,9999-12-31
SPX Index,INDEX,SPX,USD,1.0,0,SPX Index,9999-12-31
SPX/E261016C7615,EQ_OPTION,SPX,USD,100.0,0,SPX Index,2026-10-16
SPX/E261016P7615,EQ_OPTION,SPX,USD,100.0,0,SPX Index,2026-10-16
USDBRL,FX,USD,BRL,1.0,1,USDBRL Curncy,9999-12-31
USDCAD,FX,USD,CAD,1.0,0,USDCAD Curncy,9999-12-31
USDCHF,FX,USD,CHF,1.0,0,USDCHF Curncy,9999-12-31
USDCHF101526C-199336383,FX_OPTION,USD,CHF,1.0,0,USDCHF101526C-199336383,2026-10-15
USDCHF101526C-199401160,FX_OPTION,USD,CHF,1.0,0,USDCHF101526C-199401160,2026-10-15
USDCHF101526P-199336382,FX_OPTION,USD,CHF,1.0,0,USDCHF101526P-199336382,2026-10-15
USDCHF101526P-199401210,FX_OPTION,USD,CHF,1.0,0,USDCHF101526P-199401210,2026-10-15
USDCHF101926C-199095096,FX_OPTION,USD,CHF,1.0,0,USDCHF101926C-199095096,2026-10-15
USDCHF101926P-199095154,FX_OPTION,USD,CHF,1.0,0,USDCHF101926P-199095154,2026-10-15
USDCNH,FX,USD,CNH,1.0,0,USDCNH Curncy,9999-12-31
USDHKD,FX,USD,HKD,1.0,0,USDHKD Curncy,9999-12-31
USDIDR,FX,USD,IDR,1.0,1,USDIDR Curncy,9999-12-31
USDJPY,FX,USD,JPY,1.0,0,USDJPY Curncy,9999-12-31
USDJPY030127P-198153212,FX_OPTION,USD,JPY,1.0,0,USDJPY030127P-198153212,2027-03-01
USDJPY030127P-198891128,FX_OPTION,USD,JPY,1.0,0,USDJPY030127P-198891128,2027-03-01
USDJPY030127P-199202828,FX_OPTION,USD,JPY,1.0,0,USDJPY030127P-199202828,2027-03-01
USDJPY111926P-197571137,FX_OPTION,USD,JPY,1.0,0,USDJPY111926P-197571137,2026-11-19
USDJPY111926P-197957397,FX_OPTION,USD,JPY,1.0,0,USDJPY111926P-197957397,2026-11-19
USDJPY111926P-198890493,FX_OPTION,USD,JPY,1.0,0,USDJPY111926P-198890493,2026-11-19
USDKRW,FX,USD,KRW,1.0,1,USDKRW Curncy,9999-12-31
USDMXN,FX,USD,MXN,1.0,0,USDMXN Curncy,9999-12-31
USDNOK,FX,USD,NOK,1.0,0,USDNOK Curncy,9999-12-31
USDSEK,FX,USD,SEK,1.0,0,USDSEK Curncy,9999-12-31
USDSGD,FX,USD,SGD,1.0,0,USDSGD Curncy,9999-12-31
USDTRY,FX,USD,TRY,1.0,0,USDTRY Curncy,9999-12-31
USDTWD,FX,USD,TWD,1.0,1,USDTWD Curncy,9999-12-31
USDZAR,FX,USD,ZAR,1.0,0,USDZAR Curncy,9999-12-31
USDZAR101326C-198564638,FX_OPTION,USD,ZAR,1.0,0,USDZAR101326C-198564638,2026-10-09
XAUUSD,FX,XAU,USD,1.0,0,XAUUSD Curncy,9999-12-31
XAUUSD101526C-199095048,FX_OPTION,XAU,USD,1.0,0,XAUUSD101526C-199095048,2026-10-15
XAUUSD101526C-199343748,FX_OPTION,XAU,USD,1.0,0,XAUUSD101526C-199343748,2026-10-15
XAUUSD101526P-199095036,FX_OPTION,XAU,USD,1.0,0,XAUUSD101526P-199095036,2026-10-15
XAUUSD101526P-199343700,FX_OPTION,XAU,USD,1.0,0,XAUUSD101526P-199343700,2026-10-15
