as_of_date,pair,tenor,quote_type,value,ticker,field,source,snapped_at
2026-09-17,EURSEK,1M,ATM,5.275,EURSEKV1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,1M,BF10,0.3625,EURSEK10B1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,1M,BF25,0.115,EURSEK25B1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,1M,RR10,0.615,EURSEK10R1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,1M,RR25,0.33,EURSEK25R1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,1W,ATM,5.7025,EURSEKV1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,1W,BF10,0.3275,EURSEK10B1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,1W,BF25,0.0975,EURSEK25B1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,1W,RR10,0.425,EURSEK10R1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,1W,RR25,0.2275,EURSEK25R1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,1Y,ATM,5.775,EURSEKV1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,1Y,BF10,0.8,EURSEK10B1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,1Y,BF25,0.2425,EURSEK25B1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,1Y,RR10,1.275,EURSEK10R1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,1Y,RR25,0.6625,EURSEK25R1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,2M,ATM,5.37,EURSEKV2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,2M,BF10,0.4025,EURSEK10B2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,2M,BF25,0.1275,EURSEK25B2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,2M,RR10,0.73,EURSEK10R2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,2M,RR25,0.3925,EURSEK25R2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,2W,ATM,5.46,EURSEKV2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,2W,BF10,0.3325,EURSEK10B2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,2W,BF25,0.0975,EURSEK25B2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,2W,RR10,0.4875,EURSEK10R2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,2W,RR25,0.2625,EURSEK25R2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,3M,ATM,5.47,EURSEKV3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,3M,BF10,0.45,EURSEK10B3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,3M,BF25,0.1375,EURSEK25B3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,3M,RR10,0.885,EURSEK10R3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,3M,RR25,0.4775,EURSEK25R3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,6M,ATM,5.53,EURSEKV6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,6M,BF10,0.5575,EURSEK10B6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,6M,BF25,0.175,EURSEK25B6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,6M,RR10,1.0375,EURSEK10R6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,6M,RR25,0.5475,EURSEK25R6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,9M,ATM,5.695,EURSEKV9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,9M,BF10,0.68,EURSEK10B9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,9M,BF25,0.2025,EURSEK25B9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,9M,RR10,1.16,EURSEK10R9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,9M,RR25,0.5975,EURSEK25R9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,ON,ATM,4.5825,EURSEKVON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,ON,BF10,0.2975,EURSEK10BON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,ON,BF25,0.09,EURSEK25BON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,ON,RR10,0.34,EURSEK10RON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURSEK,ON,RR25,0.19,EURSEK25RON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,1M,ATM,4.6025,EURUSDV1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,1M,BF10,0.44,EURUSD10B1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,1M,BF25,0.125,EURUSD25B1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,1M,RR10,-0.365,EURUSD10R1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,1M,RR25,-0.195,EURUSD25R1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,1W,ATM,4.475,EURUSDV1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,1W,BF10,0.42,EURUSD10B1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,1W,BF25,0.12,EURUSD25B1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,1W,RR10,-0.43,EURUSD10R1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,1W,RR25,-0.2375,EURUSD25R1W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,1Y,ATM,6.16,EURUSDV1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,1Y,BF10,1.1225,EURUSD10B1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,1Y,BF25,0.31,EURUSD25B1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,1Y,RR10,-0.25,EURUSD10R1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,1Y,RR25,-0.1375,EURUSD25R1Y BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,2M,ATM,5.06,EURUSDV2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,2M,BF10,0.5175,EURUSD10B2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,2M,BF25,0.145,EURUSD25B2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,EURUSD,2M,RR10,-0.3375,EURUSD10R2M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
