Account,ALT_SRC,Base Currency,BB Industry Group,BB Industry Sector,BB Industry Subgroup,BB_YK_IDENTIFIER,Bloomberg Identifier,Business Unit,Column 2,Cost,CounterParty,Currency,CUSIP,Desk,DTD BankDebt Interest,DTD Bond Interest P&L,DTD CDS Interest,DTD Cost TransFx,DTD Dividend Interest P&L,DTD External Financing PL,DTD FC Adjustment P&L,DTD Miscellaneous PL,DTD Non Trading PL,DTD Private Fixed Income,DTD REPO Interest,DTD Swap Interest,DTD Total P&L,DTD Total P&L %,DTD Trading P&L,End Date Accr Base Balance,End Date Accr Local Balance,End Date Dirty MV,Executing Counterparty,Financial Type,FiscalYearEndMonth,FSV LEVEL,Fund,Fund Group,Fund Group Description,Future Master Description,Fx,ID_BB_GLOBAL,ID_BB_Unique,ISIN,Issuer Name NM,Issuer Country,Issuer Region,Loan Amount,LOANXID,Local Cost,Market Value %,Market Value Base + Accrued Base Balance,Market Value Local + Accrued Local Balance,Market Value Base,Market Value Local,MTD BankDebt Interest,MTD Bond Interest P&L,MTD CDS Interest,MTD Cost TransFx,MTD Dividend Interest P&L,MTD External Financing PL,MTD FC Adjustment P&L,MTD Miscellaneous PL,MTD Non Trading PL,MTD Private Fixed Income,MTD REPO Interest,MTD Swap Interest,MTD Total P&L,MTD Total P&L %,MTD Trading P&L,NM Strategy,PB Root,PB Country,PB Country Desc,PB Description,Position,Position Block,Previous Month End Market Value Base,Previous Month End Market Value Local,Previous Year End Market Value Base,Previous Year End Market Value Local,Price,PriceSource,Primary Exchange,Prior Day NAV Estimate,Prior Month End NAV Estimate,Prior Month End Price,Prior Year End NAV Estimate,Prior Year End Price,QTD BankDebt Interest,QTD Bond Interest P&L,QTD CDS Interest,QTD Cost TransFx,QTD Dividend Interest P&L,QTD External Financing PL,QTD Miscellaneous PL,QTD Non Trading PL,QTD Private Fixed Income,QTD REPO Interest,QTD Swap Interest,QTD Total P&L,QTD Total P&L %,QTD Trading P&L,Quantity,Related Security,SEDOL,Side Pocket,Start Date Accr Base Balance,Start Date Accr Local Balance,Start Date Dirty MV,Strategy,Symbol,Symbol Description,Total Return Swap,Trade Factor,Trader Name,TRS Quantity,Ultimate Issuer Description,Ultimate Issuer,Underlying ISIN,YTD BankDebt Interest,YTD Bond Interest P&L,YTD CDS Interest,YTD Cost TransFx,YTD Dividend Interest P&L,YTD External Financing PL,YTD FC Adjustment P&L,YTD Miscellaneous PL,YTD Non Trading PL,YTD Private Fixed Income,YTD REPO Interest,YTD Swap Interest,YTD Total P&L,YTD Total P&L %,YTD Trading P&L,Unnamed: 136
BNPP-IPB-NMMF,,USD,,,,USD Curncy,USD,NMMF,,-636.630655,PARIUK,DOL.C-USAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-636.630655,,CURRENCY,12,,NMMF,,,,1,,IX244867-0,,United States CCY,US,North America,0,,-636.630655,-2.94E-05,-636.630655,-636.630655,-636.630655,-636.630655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HAHY7,HAHY7,XX,,New PB,-636.630655,HAHY7:XXNMMFNMCL0001,-636.630655,-636.630655,0,0,1,BloombergBFIX,,2149429186,2088428191,1,1461916275,,0,0,0,0,0,0,-636.630655,0,0,0,0,-636.630655,-0.000434194,0,-636.630655,,,,0,0,-636.630655,Hybrid,DOL.C-USAA,UNITED STATES DOLLARS,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,-636.630655,0,0,0,0,-636.630655,-0.000178434,0,
BNPP-IPB-NMMF,420815619,USD,,,,,,NMMF,,-1027431.189,PARIUK,TRY.C-TIAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,551.483259,-0.028661296,551.483259,0,0,4630.095506,,FORWARD,12,,NMMF,,,,0.020877,,,,,,,0,,-49212495,0.000213665,4630.095506,221775,4630.095506,221775,0,0,0,0,0,0,0,0,0,0,0,0,4630.095506,0.013550061,4630.095506,HAHY7,HAHY7,XX,,New PB,-1000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,48.99072,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,4630.095506,0.003157813,4630.095506,-1000000,,,,0,0,4078.612246,Hybrid,USDTRY091626-196789440,TD 08/03/2026 VD 09/16/2026 SELL USD VS .BUY TRY @ 49.21249500,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,4630.095506,0.001297716,4630.095506,
BNPP-IPB-NMMF,420815621,USD,,,,,,NMMF,,-1027454.217,PARIUK,TRY.C-TIAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,551.476806,-0.028660961,551.476806,0,0,4653.123328,,FORWARD,12,,NMMF,,,,0.020877,,,,,,,0,,-49213598,0.000214728,4653.123328,222878,4653.123328,222878,0,0,0,0,0,0,0,0,0,0,0,0,4653.123328,0.013617452,4653.123328,HAHY7,HAHY7,XX,,New PB,-1000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,48.99072,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,4653.123328,0.003173518,4653.123328,-1000000,,,,0,0,4101.646523,Hybrid,USDTRY091626-196790774,TD 08/03/2026 VD 09/16/2026 SELL USD VS .BUY TRY @ 49.21359800,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,4653.123328,0.00130417,4653.123328,
BNPP-IPB-NMMF,420815623,USD,,,,,,NMMF,,-1027460.564,PARIUK,TRY.C-TIAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,551.475027,-0.028660869,551.475027,0,0,4659.470072,,FORWARD,12,,NMMF,,,,0.020877,,,,,,,0,,-49213902,0.000215021,4659.470072,223182,4659.470072,223182,0,0,0,0,0,0,0,0,0,0,0,0,4659.470072,0.013636026,4659.470072,HAHY7,HAHY7,XX,,New PB,-1000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,48.99072,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,4659.470072,0.003177847,4659.470072,-1000000,,,,0,0,4107.995045,Hybrid,USDTRY091626-196790880,TD 08/03/2026 VD 09/16/2026 SELL USD VS .BUY TRY @ 49.21390200,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,4659.470072,0.001305949,4659.470072,
BNPP-IPBFX-NMMF,128960,USD,,,,,,NMMF,,-5931643.013,PARIUK,BRL.C-BSAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,36046.76435,-1.873396841,36046.76435,0,0,-105145.7766,,FORWARD,12,,NMMF,,,,0.19233,,,,,,,0,,-30841044,-0.004852163,-105145.7766,-546696.0024,-105145.7766,-546696.0024,0,0,0,0,0,0,0,0,0,0,0,0,-119362.8137,-0.349317494,-119362.8137,HAHY7,HAHY7,XX,,New PB,-6000000,HAHY7:XXNMMFNMCL0001,14217.03708,72148.61976,0,0,5.23129,BloombergBVAL,,2149429186,2088428191,5.128149,1461916275,,0,0,0,0,0,0,0,0,0,0,0,-105145.7766,-0.071711411,-105145.7766,-6000000,,,,0,0,-141192.541,Hybrid,USDBRL091626-196354929,TD 07/23/2026 VD 09/16/2026 SELL USD VS .BUY BRL @ 5.14017400,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,-105145.7766,-0.029470088,-105145.7766,
BNPP-IPBFX-NMMF,420815449,USD,,,,,,NMMF,,-1981438.279,PARIUK,BRL.C-BSAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,12038.01222,-0.625631023,12038.01222,0,0,-30824.65126,,FORWARD,12,,NMMF,,,,0.19233,,,,,,,0,,-10302310,-0.001422465,-30824.65126,-160270,-30824.65126,-160270,0,0,0,0,0,0,0,0,0,0,0,0,-39827.76468,-0.116556694,-39827.76468,HAHY7,HAHY7,XX,,New PB,-2000000,HAHY7:XXNMMFNMCL0001,9003.113423,45689,0,0,5.23129,BloombergBVAL,,2149429186,2088428191,5.128311,1461916275,,0,0,0,0,0,0,0,0,0,0,0,-30824.65126,-0.021022996,-30824.65126,-2000000,,,,0,0,-42862.66347,Hybrid,USDBRL091626-196625592,TD 07/30/2026 VD 09/16/2026 SELL USD VS .BUY BRL @ 5.15115500,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,-30824.65126,-0.008639483,-30824.65126,
BNPP-IPBFX-NMMF,420815451,USD,,,,,,NMMF,,-1982076.813,PARIUK,BRL.C-BSAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,12041.40207,-0.625807198,12041.40207,0,0,-30186.11727,,FORWARD,12,,NMMF,,,,0.19233,,,,,,,0,,-10305630,-0.001392999,-30186.11727,-156950,-30186.11727,-156950,0,0,0,0,0,0,0,0,0,0,0,0,-39833.83738,-0.116574466,-39833.83738,HAHY7,HAHY7,XX,,New PB,-2000000,HAHY7:XXNMMFNMCL0001,9647.720107,48960.25,0,0,5.23129,BloombergBVAL,,2149429186,2088428191,5.128335,1461916275,,0,0,0,0,0,0,0,0,0,0,0,-30186.11727,-0.020587504,-30186.11727,-2000000,,,,0,0,-42227.51934,Hybrid,USDBRL091626-196627040,TD 07/30/2026 VD 09/16/2026 SELL USD VS .BUY BRL @ 5.15281500,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,-30186.11727,-0.008460516,-30186.11727,
BNPP-IPBFX-NMMF,420816639,USD,,,,,,NMMF,,1007787.422,PARIUK,BRL.C-BSAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,-6109.61838,0.317524748,-6109.61838,0,0,-1655.957118,,FORWARD,12,,NMMF,,,,0.19233,,,,,,,0,,5239900,-7.64E-05,-1655.957118,-8610,-1655.957118,-8610,0,0,0,0,0,0,0,0,0,0,0,0,-1655.957118,-0.004846189,-1655.957118,HAHY7,HAHY7,XX,,New PB,1000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,5.23129,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,-1655.957118,-0.001129394,-1655.957118,1000000,,,,0,0,4453.661262,Hybrid,USDBRL091626-197303684,TD 08/14/2026 VD 09/16/2026 SELL BRL VS .BUY USD @ 5.23990000,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,-1655.957118,-0.000464129,-1655.957118,
BNPP-IPBFX-NMMF,420816633,USD,,,,,,NMMF,,1007629.712,PARIUK,BRL.C-BSAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,-6108.781126,0.317481235,-6108.781126,0,0,-1498.246916,,FORWARD,12,,NMMF,,,,0.19233,,,,,,,0,,5239080,-6.91E-05,-1498.246916,-7790,-1498.246916,-7790,0,0,0,0,0,0,0,0,0,0,0,0,-1498.246916,-0.004384647,-1498.246916,HAHY7,HAHY7,XX,,New PB,1000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,5.23129,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,-1498.246916,-0.001021833,-1498.246916,1000000,,,,0,0,4610.53421,Hybrid,USDBRL091626-197303854,TD 08/14/2026 VD 09/16/2026 SELL BRL VS .BUY USD @ 5.23908000,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,-1498.246916,-0.000419926,-1498.246916,
BNPP-IPBFX-NMMF,420816645,USD,,,,,,NMMF,,1004987.681,PARIUK,BRL.C-BSAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,-6094.755088,0.316752284,-6094.755088,0,0,1143.783622,,FORWARD,12,,NMMF,,,,0.19233,,,,,,,0,,5225343,5.28E-05,1143.783622,5947,1143.783622,5947,0,0,0,0,0,0,0,0,0,0,0,0,1143.783622,0.003347304,1143.783622,HAHY7,HAHY7,XX,,New PB,1000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,5.23129,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,1143.783622,0.000780082,1143.783622,1000000,,,,0,0,7238.538709,Hybrid,USDBRL091626-197303991,TD 08/14/2026 VD 09/16/2026 SELL BRL VS .BUY USD @ 5.22534300,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,1143.783622,0.000320578,1143.783622,
BNPP-IPBFX-NMMF,420816637,USD,,,,,,NMMF,,1007783.575,PARIUK,BRL.C-BSAA,,NMCL,0,0,0,0,0,0,0,0,0,0,0,0,-6109.597959,0.317523687,-6109.597959,0,0,-1652.110528,,FORWARD,12,,NMMF,,,,0.19233,,,,,,,0,,5239880,-7.62E-05,-1652.110528,-8590,-1652.110528,-8590,0,0,0,0,0,0,0,0,0,0,0,0,-1652.110528,-0.004834932,-1652.110528,HAHY7,HAHY7,XX,,New PB,1000000,HAHY7:XXNMMFNMCL0001,0,0,0,0,5.23129,BloombergBVAL,,2149429186,2088428191,,1461916275,,0,0,0,0,0,0,0,0,0,0,0,-1652.110528,-0.001126771,-1652.110528,1000000,,,,0,0,4457.487431,Hybrid,USDBRL091626-197304038,TD 08/14/2026 VD 09/16/2026 SELL BRL VS .BUY USD @ 5.23988000,0,1,Henry Chan,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,-1652.110528,-0.000463051,-1652.110528,
